Timestamp,Mileage,Octane,Ethanol %,Station,Cost,Amount of fuel,Notes
2022/12/09 9:24:58 AM CST,288.2,87,10,Hy-Vee ames,49.1,17.541,
2022/12/18 2:47:32 PM CST,306.3,87,10,Phillips 66 North Ames,51.09,17.092,
2023/01/04 1:18:12 PM CST,246.8,87,0,"Holiday Eagan, MN",45.67,13.843,
2023/01/09 8:37:14 AM CST,272.5,87,10,Hyvee west ames,40.16,15.393,.59 fuel saver
2023/01/18 3:01:43 PM CST,263.1,87,10,Costco Poco,47.09,16.356,
2023/01/27 4:07:05 PM CST,255.2,87,10,West hyvee,46.24,16.02,
2023/02/19 5:15:20 PM CST,244.2,87,10,K and go,49.56,15.032,
2023/03/03 9:17:53 AM CST,290.7,87,10,Phillips 66 north ames,58.38,17.697,
2023/03/13 7:46:44 AM CST,203.3,87,0,Casey’s Ames IA,47.85,12.433,
2023/03/13 1:06:38 PM CST,226,87,0,Holiday MN,39.28,11.555,
2023/03/15 11:02:37 AM CST,279.3,87,0,Holiday North Branch MN,42.72,12.569,
2023/03/15 2:45:28 PM CST,251.5,87,10,Casey’s Gilbert IA,44.3,13.428,
2023/03/25 10:23:34 AM CST,318,87,10,Hy-Vee downtown ames,40.85,17.316,
2023/04/11 6:58:19 AM CST,250.3,87,10,Hy-Vee Lincoln way ames,61.82,17.667,
2023/04/22 12:26:09 PM CST,302.8,87,10,Sam’s club ames,60.76,17.671,
2023/04/29 9:29:37 AM CST,265,87,10,Sam’s club ames,45.34,13.998,
2023/05/09 10:28:20 AM CST,247,87,10,Sam’s club ames,44.54,14.853,
2023/05/16 7:35:55 AM CST,263.9,87,10,West HyVee Ames,49.34,14.957,
2023/05/30 9:47:02 AM CST,294.7,87,10,Costco ankeny,56.49,17.939,
2023/06/05 8:03:03 AM CST,482.7,87,10,Sam’s Ames,38.55,11.83,"For mileage, need to subtract mileage from last time"
2023/06/13 9:18:09 AM CST,222.5,87,10,Sam’s Ames,43.41,13.119,
2023/06/20 3:22:39 PM CST,159.8,87,10,Costco Ankeny,28.1,9.466,
2023/06/27 8:38:36 AM CST,149.3,87,10,Costco Poco,31.54,9.56,
2023/07/01 10:48:45 AM CST,272.1,87,0,Holiday Owatonna MN,49.3,14.589,
2023/07/01 12:22:12 PM CST,93.3,87,0,Holiday Elk River MN,14.99,4.477,
2023/07/03 12:53:43 PM CST,233.5,87,0,Holiday Detroit Lakes MN,37.09,11.076,
2023/07/07 12:13:19 PM CST,250.5,87,0,Holiday St Cloud MN,36.05,11.268,
2023/07/07 2:10:27 PM CST,124.3,87,0,Holiday Owatonna MN,20.34,5.898,
2023/07/11 3:02:15 PM CST,169.5,87,10,Sam’s ames,27.7,8.852,
2023/07/12 1:40:47 PM CST,328.4,87,10,Pilot Clear lake iowa,43.49,13.183,
2023/07/24 11:21:44 AM CST,276.3,87,0,Casey’s Ames IA,59.47,14.687,
2023/07/24 3:41:13 PM CST,238,88,15,Loves Forest Lake MN,35.37,10.721,
2023/07/27 5:16:08 PM CST,326.3,87,10,Cat wood County Store Carlton MN,52.78,15.085,
2023/08/01 10:56:58 AM CST,295.5,87,0,Speedway Coon Rapids MN,51.34,13.879,MN Dept Commerce says “Repair within 30 days” on all 87 octane pumps
2023/08/04 5:40:05 AM CST,253.3,87,0,Hy-Vee Ames IA,54.08,12.434,
2023/08/04 2:40:44 PM CST,267.9,87,10,Casey’s Princeton IL,47.87,12.277,
2023/08/05 4:05:43 PM CST,250.2,87,0,Speedway Paw Paw MI,44.22,11.64,
2023/08/06 11:21:27 AM CST,222.8,87,10,BP Port Huron MI,37.14,9.777,
2023/08/12 8:12:36 AM CST,339.8,87,0,Casey’s Watervliet MI,58.58,14.649,
2023/08/12 9:34:26 AM CST,291.5,87,10,Shell Drumbo ON Canada,82.83,49.627,Canadian Dollars and Liters
2023/08/12 1:04:12 PM CST,276.5,88,15,BP Walcott IA ,45.33,12.254,
2023/08/15 5:35:05 PM CST,258.3,87,10,Costco Ankeny IA,45.93,12.87,
2023/08/19 9:14:38 AM CST,188.3,87,10,Costco ankeny,31.5,9.027,
2023/08/26 9:16:56 AM CST,443.7,87,10,Sams Club Ames IA,45.5,13.23,Odometer was not reset
2023/09/07 11:22:16 AM CST,238.7,87,10,Hy-Vee downtown ames,49.17,15.466,
2023/09/10 10:44:55 AM CST,314,87,10,Sam’s club ames,32.77,8.957,Prius
2023/09/18 2:09:43 PM CST,211.9,87,10,West Hy-Vee ames,50.55,13.307,
2023/09/28 9:14:47 AM CST,254.3,87,10,Costco ankeny,52,15.343,
2023/10/07 12:27:59 PM CST,204.5,87,10,Hyvee downtown,37.78,12.682,
2023/10/14 8:10:45 AM CST,334.2,87,10,HyVee downtown ,55.54,17.042,
2023/10/25 8:23:25 AM CST,244.7,87,10,Sam’s Ames,46.56,15.023,
2023/10/31 9:14:46 AM CST,115.7,87,10,Costco Ankeny,23.92,8.083,
2023/11/15 9:08:38 AM CST,238.4,87,10,Sam’s club ames,42.84,15.38,
2023/11/25 4:13:15 PM CST,344,87,10,Flying J Northfield MN,48.87,17.094,
2023/12/01 8:58:53 AM CST,265.5,87,10,Sam’s Club Ames,42.2,15.761,
2023/12/07 10:09:17 AM CST,214.9,87,10,Costco Ankeny,30.7,11.995,
2023/12/15 10:40:18 AM CST,139.3,87,10,Casey’s on grand northside,25.27,8.569,
2023/12/15 4:33:09 PM CST,253.3,87,10,Casey’s rock port IL,32.42,10.264,
2023/12/17 2:33:56 PM CST,213.5,87,10,Mobil oasis on tollway,334.38,11.314,
2023/12/17 4:36:55 PM CST,119.4,87,10,BP - Worlds largest truck stop,19.96,6.051,89
2023/12/19 9:02:41 AM CST,195.8,87,10,Kum & Go,26.1,8.849,
2023/12/19 11:37:40 AM CST,178,87,10,Hy-Vee Omaha NE,31.83,9.505,
2023/12/19 2:59:28 PM CST,221.2,87,0,Casey’s Cozad NE,41.52,12.399,Last fill was also 0% ethanol
2023/12/19 5:57:24 PM CST,220.1,87,10,Loves Brush CO,39.78,11.21,
2023/12/24 3:40:50 PM CST,251.6,87,10,Sinclair winter park,53.52,12.747,
2023/12/26 10:25:58 AM CST,169.3,87,0,Conoco new castle CO,24.66,7.452,
2023/12/26 3:04:38 PM CST,212,87,10,Exxon Moab UT,32.57,8.854,Last stop was a Kum & Go
2023/12/26 5:49:21 PM CST,174.1,87,10,Speedway Kayenta AZ,28.6,8.366,
2023/12/26 8:16:46 PM CST,144.8,87,10,Chevron Flagstaff AZ,21.81,6.417,
2023/12/30 3:05:45 PM CST,242.3,87,10,Costco Chandler AZ,30.19,9.588,
2024/01/01 10:28:10 AM CST,193.6,87,10,Maverick Holbrook AZ,28.29,8.844,
2024/01/01 2:52:31 PM CST,243.7,88,10,Phillips 66 Albuquerque NM,41.28,11.798,
2024/01/01 6:51:22 PM CST,267.6,88,10,Toot n Totum Dalhart TX,34.23,1.231,
2024/01/02 9:09:06 AM CST,246.9,87,0,Casey’s Pratt KS,33.16,9.902,
2024/01/02 11:35:39 AM CST,156.1,87,10,FlyingJ Emporia KS,19.87,7.645,
2024/01/02 2:29:00 PM CST,201.3,87,10,Kum&Go Bethany MO,23.13,8.571,
2024/01/10 2:15:14 PM CST,267,87,10,Sam’s club Ames,38.89,14.68,
2024/01/23 10:00:29 AM CST,213.9,87,10,Casey’s North Grand in Ames,47.38,16.343,
2024/01/29 10:05:39 AM CST,212.6,87,10,Costco Poco,28.7,12.539,
2024/02/10 10:03:19 AM CST,192.9,87,10,Sam’s Club Ames IA,34.35,12.497,
2024/02/24 5:04:58 PM CST,240.8,87,10,Costco Ankeny ,44.09,15.463,
2024/03/06 6:50:35 PM CST,242.4,87,10,Sam’s Club Ames,46.26,14.46,
2024/03/16 8:53:39 AM CST,293.7,87,10,Costco Ankeny IA,43.36,14.505,
2024/03/23 8:23:02 PM CST,265.9,87,10,Kum & Go Ames IA,47.15,14.512,
2024/03/28 4:29:55 PM CST,311.6,87,10,Hy-vee west ames,54.26,16.701,
2024/04/11 2:58:01 PM CST,312.5,87,10,Hy-Vee west ames,55.6,17.113,
2024/04/20 12:43:34 PM CST,183.8,87,10,Sam’s ames,34.8,10.948,
2024/05/01 9:11:45 AM CST,199,87,10,Costco ankeny,37.21,22.747,
