date,USD,gallons,miles,octane,ethanol,notes
2017/09/17,21.7,8.685,161.8,87,10,Caseys
2017/09/25,39.17,16.194,306,87,10,Sams
2017/10/10,39.26,16.231,304.4,87,10,Sams
2017/10/25,28.11,11.918,224.5,87,10,Sams
2017/11/01,27.37,9.991,177.4,87,10,Sams
2017/11/12,39.5,15.806,274.6,87,10,BP
2017/11/18,40.05,16.027,302,87,10,BP
2017/11/26,28.38,11.831,223.5,87,10,Kum & Go
2017/12/01,28.68,11.523,185.7,87,10,Philips
2017/12/01,32.39,13.171,298.8,87,0,Cenex
2017/12/03,34.36,14.029,297,87,0,Holiday
2017/12/04,18.6,8.574,152.6,87,10,Sams
2017/12/17,36.64,13.676,205.4,87,0,Caseys
2017/12/17,19.5,7.2,130.2,87,0,Kum & Go
2017/12/17,26.47,11.514,204.8,87,10,Cenex
2017/12/17,41.19,14.939,273.2,87,10,Shell
2017/12/22,42.23,16.633,305.4,87,0,Conoco
2017/12/26,30.67,11.578,202,89,0,Reata
2017/12/26,33.41,13.926,238.3,87,10,Shell
2017/12/26,38.98,16.515,275.8,87,10,Kum & Go
2018/01/15,37.22,15.847,237.6,87,10,Sams
