date,USD,gallons,miles,octane,ethanol,notes
2017/07/08,23.66,11.164,232.7,87,10,Sams
2017/07/11,35.86,16.384,355.7,87,10,Quik Trip
2017/07/13,35.34,16,384.6,87,10,Kum&Go
2017/07/15,35.56,16.172,318,87,0,Holiday
2017/07/21,37.19,16.536,352.5,87,0,BreezyPoint
2017/07/21,19.96,9.076,215.1,87,0,Holiday
2017/07/25,20.97,9.894,172.8,87,10,Sams
2017/07/29,35.56,15.602,321.6,87,10,KwikStar
2017/08/01,32.61,12.548,259.5,87,10,Phillips 66
2017/08/01,37.83,16.821,363.3,87,0,Holiday
2017/08/06,35.78,15.563,300,87,0,Calumet (hauling canoes)
2017/08/08,28.47,12.383,279,87,0,Holiday
2017/08/13,25.71,11.282,218.7,87,10,Sams
2017/08/17,23.42,10.188,262.8,87,0,Shell
2017/08/18,35.99,15.256,328.9,87,10,Phillips 66
2017/01/17,21.06,10.228,245.1,87,10,Phillips 66
2017/08/21,34.09,14.957,340.6,87,10,Country Stores
2017/09/03,40.65,15.641,344.4,87,10,Phillips 66
2017/09/14,45.25,17.768,350.5,87,10,Phillips 66
2017/09/15,7.44,2.978,95.6,87,10,Caseys
