date,gallons,USD,miles,ethanol,octane,notes
2015/10/14,16.504,40.58,299.5,10,87,
2015/10/21,9.349,21.98,144.5,10,87,sams
2015/11/05,15.048,33.54,225.8,10,87,sams
2015/11/20,14.828,30.53,265.2,0,87,
2015/11/20,14.166,28.32,302.8,0,87,
2015/11/27,16.704,31.82,326.8,10,87,sams-moorhead
2015/11/27,12.915,25.04,266.8,0,87,holiday-eagan
2015/11/30,10.242,19.96,206.5,10,87,sams
2015/12/07,13.311,25.28,240.3,10,87,sams
2015/12/19,14.314,27.33,226.2,10,87,philip 66
2015/12/19,6.998,13.22,156.8,0,87,
2015/12/23,14.816,26.95,303.8,0,87,
2015/12/27,9.967,17.23,184.6,0,87,
2016/01/02,16.990,28.53,324.3,,,
2016/01/03,14.088,25.77,303,0,87,
2016/01/04,7.292,12.83,152.5,10,87,sams
2016/01/16,16.501,27.38,248.6,10,87,sams
2016/01/23,9.428,15.64,144.7,10,87,sams
2016/02/06,12.973,20.22,193.6,10,87,sams
2016/02/13,9.140,13.43,140.9,10,87,sams
2016/03/05,17.133,29.49,281.9,10,87,sams
2016/03/16,14.741,28.44,250.9,0,87,owatonna
2016/03/20,16.728,33.44,330.4,0,87,duluth-holiday
