Timestamp,Cost,Currency,Amount of fuel,Units,Mileage,Octane,Ethanol %,Station,Notes
1/29/2021 12:25:12,21.66,USD,12.017,Gallons,234.2,87,10,Costco Des Moines,
2/13/2021 7:03:50,28.34,USD,12.944,Gallons,167.8,87,10,Sam’s Club Ames IA,
3/6/2021 6:21:59,43.98,USD,17.461,Gallons,276.6,87,10,Sam’s club Ames IA,
4/17/2021 7:48:20,32.14,USD,12.271,Gallons,209.4,87,10,Sam’s Club Ames IA,
5/8/2021 6:24:58,44.99,USD,16.985,Gallons,312,87,10,Sam’s club Ames IA,
6/5/2021 16:47:28,51.68,USD,17.226,Gallons,1,87,10,Phillips 66,Forgot to reset trip meter
6/18/2021 9:22:34,56.17,USD,18.729,Gallons,299.7,87,10,Kum & Go Ames IA,
6/28/2021 7:10:38,48.57,USD,16.304,Gallons,292,87,10,QT des moines,
6/30/2021 13:18:39,50.8,USD,17.583,Gallons,400.2,87,10,Phillips 66 ames,
7/2/2021 7:39:53,39.14,USD,13.548,Gallons,317.3,87,10,Phillip 66 ames,
7/3/2021 12:13:43,54.45,USD,17.571,Gallons,334.1,87,10,Holiday Rogers MN,
7/8/2021 13:25:59,52.38,USD,17.467,Gallons,374.1,87,10,Cenex Ottertail MN,
7/13/2021 14:52:16,47.72,USD,17.945,Gallons,306.5,87,10,Hy-Vee ames,
7/18/2021 10:10:00,51.95,USD,16.763,Gallons,310.6,87,10,Kiwi Trip Stacy MN,
7/26/2021 13:07:05,46.04,USD,16.808,Gallons,323,87,10,Sam’s Ames,
7/31/2021 16:16:22,49.8,USD,17.604,Gallons,610.1,87,10,Holiday Owatonna MN,
8/5/2021 16:55:21,37.59,USD,12.13,Gallons,273.1,87,10,Holiday Duluth MN,Might not be a full tank or something
8/14/2021 10:10:24,50.59,USD,17.155,Gallons,347.8,87,0,Sinclair Parker’s prairie MN,"Canoe on top, no ethanol signs posted"
8/14/2021 15:45:39,45.13,USD,15.675,Gallons,283.9,87,10,Pilot clear lake IA,Carrying canoe
8/18/2021 12:45:31,47.51,USD,15.265,Gallons,315.8,87,0,Holiday Burnsville  with smart power,
8/25/2021 6:00:52,43.35,USD,16.875,Gallons,315,87,10,Sam’s club ames,
9/2/2021 14:08:13,43.7,USD,16.433,Gallons,266.8,87,10,Sam’s club ames,
9/3/2021 7:02:19,51.32,USD,14.026,Gallons,330.6,87,10,"BP Eola, IL",
9/5/2021 17:10:06,44.12,USD,14.614,Gallons,298.5,87,10,Kum & Go Williamsburg IA,
9/10/2021 6:08:54,37.5,USD,14.103,Gallons,266.7,87,10,Sam’s club Ames,
9/16/2021 9:59:52,38.59,USD,14.037,Gallons,271.7,87,10,Costco des moines,
9/22/2021 11:15:10,54.22,USD,17.495,Gallons,345.8,87,10,Phillips 66 north ames,
9/30/2021 9:57:03,46.54,USD,17.308,Gallons,310.1,87,10,Sam’s ames,
10/8/2021 5:53:44,49.38,USD,15.934,Gallons,281.1,87,10,Kum and go ames( by Jax),
10/17/2021 7:55:13,52.47,USD,16.402,Gallons,310.5,87,10,Kum & Go Ames Ia,
10/26/2021 6:03:30,53.01,USD,17.735,Gallons,288.1,87,10,Sam’s Ames,
11/1/2021 10:39:46,38.91,USD,12.932,Gallons,226.5,87,10,Sam’s ames,
11/12/2021 6:56:01,39.79,USD,13.357,Gallons,441.6,87,10,Sam’s ames,
11/16/2021 6:03:25,49.95,USD,17.172,Gallons,331.6,87,10,Sam’s ames,
11/19/2021 13:31:55,24.49,USD,7.424,Gallons,130.3,87,10,Kum and Go,
11/27/2021 14:10:00,36.69,USD,11.615,Gallons,240.5,87,0,"Speedway Lakeville, MN",
12/1/2021 6:00:46,39.05,USD,13.885,Gallons,270.3,87,10,Sam’s Ames ,
12/6/2021 6:09:01,30.71,USD,11.173,Gallons,217.8,87,10,Sam’s ames,
12/15/2021 6:52:25,44.13,USD,16.169,Gallons,272.1,87,10,Sam’s ames,
12/21/2021 6:43:46,48.1,USD,17.308,Gallons,311.8,87,10,Sam’s Ames,
12/29/2021 7:11:16,31.1,USD,11.152,Gallons,194.3,87,10,Sam’s club Ames IA,
1/6/2022 18:09:52,52.37,USD,16.899,Gallons,275.9,87,10,Swift stop Ames IA,
