Timestamp,Cost,Currency,Amount of fuel,Units,Mileage,Octane,Ethanol %,Station,Notes
9/23/2020 7:42:28,21.66,USD,12.017,Gallons,234.2,87,10,Costco Des Moines,
10/1/2020 7:52:13,20.94,USD,12.04,Gallons,185.8,87,10,Sans club ames,
10/2/2020 17:18:14,20.94,USD,12.04,Gallons,185.8,87,10,Sans club ames,
10/23/2020 10:47:20,24.6,USD,14.739,Gallons,265.4,87,10,Costco Des Moines ,
11/26/2020 8:04:14,16.45,USD,8.311,Gallons,134.5,87,10,Loves Avoca IA,
11/26/2020 10:55:29,25.81,USD,12.298,Gallons,217.3,87,10,Phillips 66 Kearney NE,
11/26/2020 13:04:41,16.83,USD,7.653,Gallons,146,87,0,Casey’s Ogallala NE,
12/2/2020 15:16:36,33.65,USD,13.628,Gallons,227.7,87,10,Shell Barkley CO,
12/5/2020 9:53:43,33.65,USD,13.628,Gallons,227.7,87,10,Shell Barkley CO,
12/7/2020 20:21:01,25.81,USD,12.298,Gallons,217.3,87,10,Phillips 66 Kearney NE,
12/7/2020 20:21:01,16.45,USD,8.311,Gallons,134.5,87,10,Loves Avoca IA,
12/20/2020 6:33:42,41.17,USD,14.978,Gallons,272.4,87,,Conoco Winter Park CO,
12/20/2020 7:19:14,15.18,USD,5.271,Gallons,127.5,87,10, Valero Colorado Springs CO,
12/20/2020 12:52:06,24.96,USD,11.149,Gallons,202.9,87,10,Loves Albuquerque NM,
12/20/2020 16:18:24,25.44,USD,10.603,Gallons,223.8,87,10,Chevron Holbrook AZ,
12/22/2020 5:46:02,24.96,USD,11.149,Gallons,202.9,87,10,Loves Albuquerque NM,
12/25/2020 10:30:59,36.56,USD,15.903,Gallons,328.8,87,10,Chevron Mesa AZ,
1/1/2021 20:18:40,28.31,USD,14.906,Gallons,309.4,87,10,Fas Fuel Tucson AZ,
1/2/2021 7:31:34,26.33,USD,10.049,Gallons,165.1,88,10,Pilot Lordsburg NM,
1/2/2021 11:46:12,32.71,USD,15.582,Gallons,307,88,10,Phillips 66 Bernalillo NM,
1/2/2021 16:22:48,43.89,USD,16.631,Gallons,322.6,87,10,Loaf ‘n Jug Pueblo CO,
1/5/2021 12:33:11,32.71,USD,15.582,Gallons,307,88,10,Phillips 66 Bernalillo NM,
1/8/2021 19:47:59,43.89,USD,16.631,Gallons,322.6,87,10,Loaf ‘n Jug Pueblo CO,
1/11/2021 13:20:34,44.51,USD,16.191,Gallons,319.8,87,10,Conoco Winter Park CO,
1/22/2021 7:18:27,22.72,USD,9.549,Gallons,208.8,87,10,Maverick Fort Morgan CO,
1/22/2021 10:44:27,42.99,USD,17.202,Gallons,276.4,87,10,Conoco Kearney NE,
1/22/2021 13:17:50,20.73,USD,9.428,Gallons,188,87,10,BP Council Bluffs IA,
1/23/2021 6:30:24,21.92,USD,10.393,Gallons,169.9,87,10,Sam’s club Ames IA,
1/29/2021 12:24:54,41.17,USD,14.978,Gallons,272.4,87,,Conoco Winter Park CO,
1/29/2021 12:24:54,15.18,USD,5.271,Gallons,127.5,87,10, Valero Colorado Springs CO,
