date,gallons,USD,miles,ethanol,octane,notes
2012/10/17,12.376,45.28,244.1,,,
2012/10/21,14.945,50.80,316.1,,,
2012/10/28,13.102,43.22,229.7,,,
2012/11/03,12.734,39.34,251.1,,,
2012/11/20,14.125,46.32,233.7,,,
2012/12/07,17.643,57.15,296.7,,,
2012/12/13,14.009,42.85,281.9,,,
2012/12/17,11.652,36.11,216.0,,,
2012/12/19,5.260,16.14,128.5,,,
2012/12/25,10.502,32.13,185.0,,,
2012/12/29,7.063,21.18,125.0,,,
2013/01/10,14.200,42.59,277.2,,,
2013/01/15,16.527,50.23,286.9,,,
2013/01/26,8.726,27.30,120.2,,,
2013/02/02,4.685,15.46,69.8,,,
2013/02/09,6.302,21.42,90.0,,,
2013/02/23,11.479,41.31,170.0,,,
2013/03/02,4.259,15.07,69.9,,,
2013/03/09,7.547,26.71,174.3,,,
2013/03/16,6.600,23.75,104.1,,,+1.7 above or below
2013/03/23,15.454,56.55,305.1,,,
2013/03/30,12.915,44.29,272.1,,,
2013/04/13,14.516,48.47,258.1,,,
