date,gallons,USD,miles,ethanol,octane,notes
2013/12/19,5.281,17.63,112.5,0,87,
2013/12/26,15.231,47.96,291.0,10,87,
2013/12/27,8.084,25.89,181.7,10,87,
2013/12/27,7.443,24.55,181.6,10,87,
2013/12/27,11.156,33.46,272.0,10,87,
2013/12/27,16.403,50.83,324.5,0,88,
2014/01/03,5.030,15.08,42.8,10,87,
2014/01/04,15.059,48.17,330.3,0,87,
2014/01/10,11.643,35.15,205.0,10,87,
2014/01/24,12.860,38.82,189.3,10,87,sams
2014/01/31,7.211,22.13,103.0,10,87,sams
2014/02/07,5.717,,80.2,10,87,sams
2014/02/07,14.043,45.49,271.0,0,87,
2014/02/14,14.048,43.08,260.7,10,87,sams
2014/02/28,15.342,50.92,264.7,10,87,sams
2014/03/07,9.842,33.78,159.3,10,87,
2014/03/22,9.135,30.14,143.9,10,87,
2014/04/04,11.088,37.69,168.9,10,87,
2014/04/11,7.224,25.06,126.2,10,87,
2014/04/25,16.034,56.90,265.3,10,87,
2014/04/25,11.119,40.46,239.3,0,87,
2014/04/27,11.536,40.36,236.7,0,87,
2014/04/27,12.880,46.39,237.7,0,87,
