date,USD,gallons,miles,octane,ethanol,notes
2019/02/20,36.58,15.911,260.5,87,10,Phillips 66
2019/02/27,31.31,13.051,214.1,87,10,Phillips 66
2019/03/05,35.2,14.674,249.2,87,10,Phillips 66
2019/03/13,31.61,12.649,209.4,87,10,Phillips 66
2019/03/18,39.45,15.475,278.1,88,0,KwikTrip
2019/03/21,32.76,11.917,253.3,87,0,Holiday
2019/03/21,27.78,10.687,216.7,87,0,Holiday
2019/03/24,32.38,13.324,261.5,87,10,Sams
2019/04/07,45.93,17.873,296,87,10,Caseys
2019/04/13,20.48,8.033,148.3,87,10,Sams
2019/04/28,33.9,13.145,196.1,87,10,Sams
2019/05/02,38.34,15.341,284.4,87,10,Sams
2019/05/06,23.79,9.243,185.3,87,10,Sams
2019/05/10,21.91,7.884,123.8,87,10,Phillips 66
2019/05/20,29.87,11.234,245.6,87,0,Holiday
2019/05/20,20.97,8.425,204.8,87,10,Sams
2019/05/29,27.24,11.123,167.8,87,10,Sams
2019/06/15,42.46,17.267,300,87,10,Loves
2019/06/22,32.92,14.013,289.6,87,10,Kum&Go
2019/06/23,18.54,7.388,185.9,87,0,Speedway
2019/06/24,34.08,14.688,321,87,10,Sams
2019/06/28,37.48,14.422,238.7,87,10,Phillips 66
