date,USD,gallons,miles,octane,ethanol,notes
2018/11/24,31.5,11.578,194.5,87,0,Holiday
2018/11/24,26.61,11.184,217.2,87,0,Holiday
2018/11/30,20.75,15.229,271.2,87,10,Sams
2018/12/07,27.98,14.503,245.2,87,10,Sams
2018/12/14,28.64,14.771,260.2,87,10,Sams
2018/12/20,26.97,12.912,225.8,87,10,SwiftStop
2018/12/22,32.72,15.225,257.7,87,0,U.S.
2018/12/24,29.5,14.058,253.6,87,0,Casey's
2018/12/30,33.19,16.28,285.3,87,0,M&H
2019/01/01,14.93,7.113,123.7,87,10,Pilot
2019/01/03,37.34,17.081,315.4,87,10,Holiday
2019/01/07,33.63,16.024,308.8,87,10,KwikTrip
2019/01/11,28.93,15.649,272.5,87,10,Sams
2019/01/16,22.34,11.887,205,87,10,Sams
2019/01/22,26.07,13.73,239.9,87,10,Sams
2019/01/28,25.38,13.438,228.1,87,10,Sams
2019/02/02,18.39,9.84,138.7,87,10,Sams
2019/02/07,36.72,16.698,310,87,10,Phillips 66
2019/02/13,34.31,15.647,248.4,87,10,Phillips 66
