date,USD,gallons,miles,octane,ethanol,notes
2018/08/11,33.4,11.443,239.2,87,0,Holiday
2018/08/14,23.77,8.342,218.9,87,0,Holiday
2018/08/16,34.4,12.483,282,87,0,Holiday
2018/08/23,41.12,17.657,336.6,87,10,Sams
2018/08/30,27.7,10.908,189.7,87,10,Sams
2018/08/31,23.42,8.677,198.9,87,10,Shells
2018/09/02,30.91,9.974,221,87,10,BP
2018/09/02,23.17,8.522,172.7,87,,BP
2018/09/06,36.24,14.273,306.1,87,10,Sams
2018/09/13,38.16,15.271,283.8,87,10,Sams
2018/09/17,36.61,14.088,285.9,87,10,Sams
2018/09/25,44.47,16.787,305.7,87,10,Sams
2018/09/30,42.93,15.338,316.1,87,10,HyVee
2018/10/04,27.97,10.44,189.1,87,10,Sams
2018/10/11,34.55,13.343,246.4,87,10,Sams
2018/10/18,33.94,13.477,252,87,10,Sams
2018/10/24,46.9,17.185,359.3,87,10,Phillips 66
2018/10/28,31.83,12.943,258.1,87,10,Sams
2018/11/05,29.71,13.095,238.4,87,10,Sams
2018/11/16,29.03,12.358,220,87,10,Sams
2018/11/16,26.31,9.711,166.7,87,0,Phillips 66
2018/11/16,36.04,13.607,288,87,0,Holiday
