date,gallons,USD,miles,ethanol,octane,notes
2016/09/01,17.252,37.07,265.6,10,87,Sams
2016/09/16,14.804,31.07,316.7,0,87,
2016/09/18,10.364,23.31,248.1,0,87,
2016/09/18,6.52,14.04,139.1,0,87,
2016/09/23,12.22,26.87,242.8,10,87,"octane?, Phillip 66"
2016/10/07,15.039,32.17,268.5,10,87,Sams
2016/10/16,16.038,34.31,346.4,10,87,Sams
2016/11/11,17.05,34.76,312.3,10,87,Sams
2016/11/21,13.331,26.12,272.2,0,87,BP
2016/11/26,10.914,21.27,224.1,0,87,Holiday MN
2016/11/26,9.818,19.63,221.1,0,87,Holiday Owatonna
2016/11/28,8.89,18.13,159.3,10,87,Sams
2016/12/14,17.297,38.04,246.8,10,87,SwiftStop
2016/12/21,11.54,26.3,192.6,10,87,SwiftStop
2016/12/21,7.998,17.54,150.4,0,87,Holiday Owatonna
2016/01/03,5.706,13.12,99,0,87,
2016/01/03,11.552,26.79,214.5,10,87,Sams
2016/01/20,16.53,30.43,205.5,10,87,Sams
2016/02/02,13.261,29.43,224,10,87,Sams
2016/02/10,10.161,22.55,173.4,10,87,Sams
