date,USD,gallons,miles,octane,ethanol,notes
2019-06-30,30.8,11.85,249.5,87,0,Holiday
2019-07-02,43.08,16.833,381.8,87,10,Arco
2019-07-06,29.12,11.38,259.5,87,10,Cenex
2019-07-11,41.47,16.204,338.9,87,,Ace
2019-07-13,47.51,17.604,387.7,87,,Holiday
2019-07-15,20.29,8.251,162,87,10,Sams
2019-07-26,38.89,16.418,276.9,87,10,Sams
2019-07-28,11.65,3.963,75.7,87,0,SwiftStop
2019-07-28,23.93,8.548,173.3,87,0,Shell
2019-07-28,22.6,8.282,183.5,87,0,Phillips 66
2019-07-28,20.16,7.202,144.7,87,0,Casey's
2019-08-01,32.47,10.938,224.1,87,0,Phillips 66
2019-08-12,40.05,12.518,238.6,87,0,Conoco
2019-08-12,23.4,7.935,196.8,87,0,Reata
2019-08-12,25.51,10.632,230.7,87,10,Casey's
2019-08-13,36.02,14.131,287.1,87,10,Casey's
2019-08-23,29.77,13.661,235.6,87,10,Sams
2019-08-28,34.49,13.801,274.8,87,10,Phillips 66
2019-08-29,27.28,9.576,209.8,87,0,SwiftStop
2019-08-29,31.1,11.784,288.8,87,10,Mobil
2019-09-01,17.49,6.589,181.5,87,10,Casey's
2019-09-03,31.02,10.965,247.8,87,,Phillips 66
