date,gallons,USD,miles,ethanol,octane,notes
2013/04/26,14.572,46.91,243.1,10,,
2013/05/11,11.299,39.87,188.8,10,,
2013/05/14,7.180,27.21,166.8,0,,
2013/05/19,14.864,65.36,351.1,0,,
2013/05/19,12.753,49.72,296.3,10,,
2013/05/19,8.893,33.61,153.5,10,,
2013/05/31,7.792,28.82,163.6,10,,
2013/06/09,15.714,55.93,328.2,0,87,
2013/06/12,13.561,50.70,295.9,0,87,
2013/06/21,15.338,55.05,311.9,0,87,
2013/06/23,12.545,43.85,288.8,0,87,
2013/06/24,10.862,36.27,210.0,10,89,
2013/06/30,10.024,32.77,181.7,10,89,
2013/07/12,14.552,52.37,316.9,0,87,
2013/07/16,9.988,36.89,217.1,0,87,
2013/07/18,10.783,39.58,218.0,0,87,
2013/07/26,13.148,48.63,288.6,0,87,
2013/07/28,10.420,37.92,249.4,0,87,
2013/07/29,9.559,32.68,207.0,10,89,
2013/08/17,13.598,45.81,242.6,10,89,
2013/08/31,11.781,41.46,173.7,,,
2013/09/07,7.653,26.93,116.6,,,
2013/09/13,9.368,32.50,163.0,10,89,
