date,gallons,USD,miles,ethanol,octane,notes
2014/05/08,15.170,54.60,271.3,10,87,
2014/05/22,14.168,47.87,261.3,10,87,
2014/06/05,11.894,41.62,243.7,10,87,
2014/06/09,,,160.0,10,87,
2014/07/10,15.198,51.35,244.8,10,87,
2014/07/22,14.258,48.87,275.3,0,87,
2014/07/25,10.593,33.78,229.8,0,87,
2014/08/04,16.684,54.71,339.0,10,87,
2014/08/13,,,,0,87,
2014/08/16,10.672,34.67,220.3,10,87,
2014/08/28,8.905,28.93,146.7,10,87,
2014/09/04,14.891,48.68,333.5,0,87,
2014/09/05,9.059,29.43,181.8,10,87,
2014/09/20,8.043,24.93,134.0,10,87,
2014/10/03,10.161,31.49,186.8,10,87,swift stop
2014/10/10,8.716,25.88,163.7,10,87,
2014/10/25,17.188,50.17,320.6,10,87,
2014/11/06,8.578,24.67,163.7,10,87,
2014/11/09,11.902,34.22,264.3,0,87,
2014/11/17,13.945,39.31,284.0,10,87,
2014/11/24,14.879,40.46,243.2,0,87,
