date,gallons,USD,miles,ethanol,octane,notes
2015/04/30,8.338,20.18,325.9,10,87,sams
2015/05/07,7.087,18.08,120.4,10,87,sams
2015/05/14,8.554,22.23,142.6,10,87,
2015/05/26,16.594,42.46,381.4,10,87,
2015/06/05,12.114,29.06,219.3,10,87,
2015/06/06,10.687,28.74,252.9,0,87,
2015/06/08,9.670,23.68,194.9,10,87,sams
2015/06/08,7.422,19.36,156.0,10,87,
2015/06/09,6.800,17.95,145.6,10,87,
2015/06/12,18.779,49.93,387.9,0,87,
2015/06/15,15.890,42.73,332.8,10,87,sams
2015/06/25,14.808,39.82,286.3,10,87,
2015/06/28,14.660,40.45,335.3,10,87,
2015/07/02,8.239,22.07,173.2,,,
2015/07/06,14.437,38.24,,,,
2015/07/11,11.025,,,,,
2015/08/04,13.450,,,,,
